,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
11,0,0,0,0,0,0,0,100,0,0,100,0,100,0,0,100,100,0,0,0,0,100,0,0,0,0,100,100,0,100,0,100,0,0,100,100,0,0,0,0,100,0,0,0,200,0,0,200,0,100,0,0,0,0,0,0,100,100,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,200,100,100,0,100,100,0,200,100,0,0,0,100,0,0,100,100
12,0,0,0,0,0,0,0,100,100,0,100,0,100,0,0,100,100,0,0,0,0,100,0,0,0,0,100,100,0,100,0,100,0,0,200,100,0,0,0,0,100,0,0,0,200,0,0,200,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,100,0,0,0,0,0,100,0,0,100,0,0,0,100,0,200,100,100,0,100,100,0,200,100,0,0,0,100,0,0,100,100
13,0,0,0,0,0,0,0,100,100,0,100,0,100,0,0,100,100,0,0,0,0,100,0,0,0,0,100,100,0,200,0,100,0,0,200,100,0,0,0,0,100,0,0,0,100,0,0,200,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,100,0,0,0,0,0,100,0,0,100,0,100,0,100,0,200,100,100,0,100,100,0,200,100,0,0,0,100,0,0,100,0
14,0,0,0,0,0,0,0,100,100,0,100,0,100,0,0,100,100,0,100,0,0,100,0,0,0,0,0,100,0,200,0,0,0,0,200,100,0,0,0,0,200,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,100,0,100,0,100,0,200,200,0,0,100,100,0,200,100,0,0,0,100,0,0,100,0
15,0,0,0,0,0,0,0,100,100,0,100,0,100,100,0,100,100,0,100,0,0,100,0,0,0,0,0,100,0,200,0,0,0,0,200,100,0,0,0,0,200,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,100,0,100,0,100,0,100,200,0,0,100,0,0,200,100,0,0,0,100,0,0,100,0
16,0,0,0,0,100,0,0,0,100,0,100,0,100,100,0,100,200,0,100,0,0,100,0,0,0,0,0,0,0,200,0,0,0,0,300,0,0,0,0,0,200,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,200,0,100,0,100,0,0,200,0,0,100,0,0,200,100,0,0,0,100,0,0,100,0
17,0,0,0,0,100,0,0,0,100,0,100,0,100,100,0,100,200,0,100,0,0,100,0,0,0,0,0,0,0,200,0,0,0,0,300,0,0,0,0,0,200,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,100,0,0,200,0,100,0,100,0,0,200,0,0,100,0,0,200,100,0,0,0,0,0,100,100,0
18,0,0,0,0,100,0,0,0,100,0,0,0,100,100,100,100,100,0,100,0,0,100,0,100,0,0,0,0,0,200,0,0,0,0,400,0,0,0,0,0,100,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,0,200,0,0,100,100,0,200,0,0,0,0,0,0,100,100,100
19,0,0,0,0,100,0,0,0,100,0,0,0,0,100,100,0,100,0,100,0,0,100,0,100,0,100,0,0,0,200,0,0,0,0,300,0,0,0,0,0,100,0,0,0,0,0,0,200,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,100,0,200,0,100,100,100,0,100,0,0,0,0,0,0,100,100,100
20,0,0,0,0,100,0,0,0,100,0,0,0,0,100,100,0,100,0,100,0,0,100,0,100,100,100,0,0,0,100,0,0,0,0,300,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,100,0,200,0,100,0,100,0,100,0,0,0,0,0,0,100,100,100
21,100,0,0,0,100,0,0,0,100,0,0,0,0,100,100,0,100,0,100,0,0,0,0,100,100,100,0,100,0,100,0,0,0,0,300,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,100,100,0,100,100,100,0,100,100,100,200,0,100,0,100,0,0,0,0,0,0,0,0,100,0,100
22,100,0,0,0,100,0,0,0,0,0,100,0,100,100,100,0,100,0,100,0,0,0,0,100,100,100,0,100,0,100,0,0,0,0,200,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,100,0,100,100,100,0,0,100,100,200,0,100,0,200,0,0,0,0,0,0,0,0,100,0,100
23,100,0,0,0,100,0,0,0,0,0,100,0,100,100,100,0,100,0,100,0,0,0,0,100,100,100,0,100,0,0,0,0,0,0,200,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,100,100,0,100,100,0,0,0,100,100,100,0,100,0,300,0,0,0,0,0,0,0,0,100,0,100
24,100,0,0,0,100,0,0,0,0,0,100,0,100,100,100,0,100,0,0,0,0,0,100,100,100,100,0,100,0,100,100,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,100,100,0,100,100,100,100,0,100,100,0,0,100,0,400,0,0,0,0,0,0,0,0,100,0,100
25,100,0,0,0,100,0,0,0,100,0,100,0,100,0,100,0,100,0,0,0,0,0,100,100,100,100,0,100,0,100,100,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,200,0,0,0,0,0,100,0,0,0,100,0,0,0,100,0,0,100,100,0,100,100,100,100,0,100,200,0,0,100,0,400,0,0,0,0,0,0,100,0,100,0,100
26,100,0,0,0,0,0,0,100,100,0,100,0,100,0,100,0,100,0,0,0,0,0,100,100,100,100,0,100,0,100,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,200,0,0,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,100,100,100,0,100,200,0,0,100,0,400,0,0,0,0,0,0,100,0,100,0,100
27,100,0,0,0,0,0,0,100,200,0,100,0,100,0,100,0,100,0,0,0,0,0,100,100,100,100,0,100,0,100,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,200,0,0,0,0,0,100,0,0,0,100,0,0,0,0,0,0,0,100,0,0,100,100,100,0,100,200,0,0,100,0,500,0,0,0,100,0,0,100,0,0,0,100
28,100,0,0,0,100,0,0,100,200,0,100,0,100,0,0,0,100,0,0,0,0,0,100,0,100,100,0,100,0,100,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,200,0,0,0,0,0,100,0,0,0,100,0,0,0,0,0,0,0,100,0,0,100,200,100,0,100,200,0,0,100,0,400,100,0,0,100,0,0,100,0,0,0,0
29,100,0,0,0,100,0,0,100,200,0,100,0,100,0,0,0,100,0,0,0,0,0,100,0,100,0,0,100,0,100,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,100,0,0,100,100,0,0,0,0,0,0,0,100,0,0,100,200,100,0,0,200,0,0,0,0,400,100,100,0,200,100,0,100,0,0,0,0
30,100,0,0,0,100,0,0,100,200,0,100,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,100,0,100,100,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,100,0,0,100,100,0,0,0,0,0,0,0,100,0,0,100,200,100,0,0,200,0,0,0,0,400,100,100,0,200,100,0,100,0,0,0,0
31,0,0,0,0,100,0,0,100,200,0,100,0,100,0,0,0,200,0,0,0,0,0,100,0,0,0,0,0,0,100,100,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,100,0,0,200,100,0,100,0,0,0,0,0,0,0,0,0,200,100,0,0,100,100,0,0,0,400,100,100,0,200,100,0,100,0,0,0,0
32,0,0,0,0,100,0,0,100,200,0,0,0,0,0,0,0,200,0,0,0,0,0,100,0,0,0,0,0,0,100,100,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,100,0,0,200,100,0,100,0,0,0,0,0,0,0,0,0,300,100,0,0,100,200,0,0,0,300,100,100,0,200,100,0,100,0,0,0,0
33,0,0,0,0,100,0,0,100,200,0,0,0,0,0,0,0,200,0,0,0,0,0,100,0,0,0,0,0,0,100,100,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,200,100,0,100,0,0,0,0,0,0,0,0,0,300,100,0,0,200,200,0,100,0,200,100,100,100,200,100,0,100,0,0,0,0
34,0,0,0,0,100,0,0,100,200,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,200,100,0,100,0,0,0,0,0,0,0,0,0,200,0,0,0,200,200,0,100,0,100,100,100,100,200,100,0,100,0,100,0,0
35,0,0,0,0,100,0,0,100,100,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,100,0,0,0,0,0,0,0,0,0,200,0,0,0,100,200,0,100,0,200,100,100,100,200,100,0,0,0,100,0,0
36,0,0,0,0,100,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,100,100,0,0,0,0,0,0,0,0,200,0,0,0,100,200,0,100,0,200,100,100,100,200,100,0,0,0,200,0,0
37,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,100,100,0,0,0,0,0,0,0,0,200,0,0,0,100,200,0,100,0,100,100,100,100,100,100,0,0,0,200,0,0
38,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,200,0,0,100,100,0,0,0,0,0,0,0,0,100,0,0,0,100,200,0,100,0,100,0,100,200,100,100,0,0,0,200,0,0
39,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,100,0,0,100,100,0,0,0,0,0,0,0,0,100,0,0,0,100,200,0,100,0,200,0,0,200,0,0,0,0,0,200,0,0
40,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,100,0,0,100,100,0,0,0,0,0,0,100,0,100,0,0,0,100,200,0,100,100,200,0,0,200,0,0,0,0,0,200,0,0
41,0,0,100,100,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,100,100,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,100,0,100,0,0,0,100,100,0,100,100,200,0,0,200,0,0,0,0,0,200,0,0
42,0,0,100,100,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,100,100,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,100,0,100,0,0,100,100,200,0,0,200,0,0,0,0,0,200,0,0
43,0,0,100,100,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,100,100,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,200,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,0,100,200,0,0,100,0,0,0,0,0,200,0,0
44,0,0,100,100,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,100,100,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,100,0,0,100,100,0,0,0,0,0,0,200,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,0,100,200,0,0,100,0,0,0,0,0,100,0,0
45,0,0,100,100,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,100,100,0,0,200,0,100,100,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,100,0,0,100,100,0,0,0,0,0,0,200,0,0,0,0,0,100,0,0,0,0,100,0,100,0,0,0,100,100,0,0,0,0,100,100,0,0,100,0,0,0,0,0,100,0,0
46,0,0,100,100,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,100,100,0,0,200,0,100,100,0,0,0,0,0,0,100,0,100,0,0,0,0,100,0,0,0,0,0,100,0,0,100,0,0,100,100,0,0,0,0,0,0,200,0,0,0,0,100,0,0,0,0,0,100,0,100,0,0,0,100,100,0,0,0,0,100,100,0,0,100,0,0,0,0,0,0,0,0
47,0,0,100,100,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,100,100,0,0,200,0,100,200,0,0,0,0,0,0,100,0,100,0,0,0,0,100,0,0,0,0,0,100,0,0,100,0,0,100,100,0,0,0,0,0,0,200,0,0,0,0,100,0,0,0,0,0,100,0,100,0,0,0,100,100,0,100,0,0,100,100,0,0,100,0,0,0,0,0,0,0,0
48,0,0,0,100,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,100,0,0,300,0,100,200,0,0,0,100,0,0,100,0,100,0,0,0,0,100,0,0,0,0,0,100,0,0,100,100,0,0,100,0,0,0,0,0,0,200,0,0,0,0,100,0,0,0,0,0,100,0,100,0,0,0,100,100,0,100,0,0,100,200,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,100,0,0,0,0,100,0,0,0,0,100,100,0,0,0,0,0,100,100,0,300,0,100,200,0,0,0,100,0,0,100,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,100,100,0,0,100,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,100,0,100,0,0,0,100,100,0,100,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,100,0,0,0,0,100,0,0,0,0,100,100,0,0,0,0,0,100,100,0,200,0,100,200,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,100,100,0,0,100,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,100,100,0,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,200,0,0,100,0,100,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,100,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,100,100,0,100,0,0,0,100,100,0,0,0,0,0,0,0,0,0,100
52,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,200,0,0,100,0,100,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,100,0,0,0,0,0,0,100,0,0,0,0,100,0,100,0,0,0,100,0,0,0,0,0,0,100,0,100,0,0,0,100,100,0,0,0,0,0,0,0,0,0,100
53,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,200,0,0,100,0,100,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,100,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,100,0,0,0,0,0,0,100,0,200,0,0,0,100,100,0,0,0,0,0,0,0,0,0,100
54,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,200,0,0,100,0,100,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,200,0,0,0,0,0,0,100,0,200,0,0,0,100,100,0,0,0,0,0,0,0,0,0,100
55,0,0,0,0,0,0,0,0,0,0,100,0,0,100,100,0,0,0,0,0,0,100,0,100,0,0,100,0,100,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,100,0,0,0,0,0,0,0,0,200,0,0,0,100,100,0,0,0,0,0,0,0,0,0,100
56,0,0,0,0,0,100,0,0,0,0,100,0,0,100,100,0,0,0,0,0,0,100,0,100,0,0,100,100,100,0,100,0,100,0,0,0,0,0,100,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,0,0,0,0,0,0,0,200,0,0,0,100,100,0,0,0,0,0,0,0,0,0,100
57,0,0,100,100,0,100,0,0,0,0,100,0,100,100,100,0,100,0,0,0,0,100,0,100,0,0,0,100,200,0,100,0,100,0,0,0,0,0,100,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,100,0,100,0,100,0,0,0,0,0,0,0,0,100,0,0,0,100,100,0,0,0,0,0,0,0,0,0,100
58,0,0,100,100,0,100,0,0,0,0,100,0,100,200,0,0,100,100,0,0,0,100,0,0,0,0,0,100,200,100,0,0,100,0,0,100,0,0,100,0,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,100,0,100,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,100,0,0,100
59,0,0,100,100,0,100,0,0,0,0,100,0,100,100,0,0,100,100,0,0,0,0,0,0,0,0,0,100,200,100,0,0,100,0,0,100,0,0,100,0,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,100,0,100,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,100,0,0,100
60,0,0,100,100,0,100,0,0,0,0,100,0,100,100,0,0,100,100,0,100,0,0,0,0,100,0,0,100,200,100,0,0,100,0,100,100,0,100,100,0,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,100,0,100,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,100,100,0,0,100
61,0,0,100,100,0,100,0,0,0,0,100,0,100,100,0,0,100,100,0,100,0,100,0,0,100,0,100,100,100,100,0,0,100,0,100,100,0,100,100,0,100,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,100,0,200,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0
62,0,0,100,100,0,100,0,0,0,0,100,0,100,100,0,0,100,100,0,100,100,100,0,0,100,0,100,100,100,100,0,0,100,0,100,100,0,100,100,0,100,100,0,0,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,200,0,100,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,100,0,0,200,100,0,0,0
63,0,0,100,100,0,100,0,0,0,0,100,0,100,100,0,0,100,100,0,100,100,100,100,100,100,0,100,100,100,100,0,0,100,0,100,100,0,100,100,100,0,100,0,0,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,100,0,200,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,200,100,0,0,0
64,0,0,100,100,0,100,0,0,0,0,100,100,100,100,0,0,100,100,0,100,100,100,100,100,100,0,100,100,100,200,0,0,100,0,100,100,0,100,100,100,0,100,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,100,0,100,0,0,0,0,100,0,100,0,0,0,100,0,0,100,0,0,100,0,0,0,0,0,0,0,0,100,0,0,200,100,0,0,0
65,0,0,100,100,0,100,0,0,0,0,0,100,100,100,0,0,200,100,0,100,100,100,100,100,100,0,100,100,100,200,0,0,100,0,100,100,0,100,100,100,0,100,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,100,0,100,0,0,0,0,100,0,100,0,0,0,100,0,0,100,0,0,100,0,0,0,0,0,100,0,0,100,0,0,200,100,0,0,0
66,0,0,100,100,0,0,0,0,0,0,0,100,100,100,100,0,200,100,0,100,100,100,100,100,100,0,100,0,100,200,0,0,100,0,100,100,0,100,0,100,0,100,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,100,0,100,0,0,0,0,100,0,100,0,0,0,100,0,0,100,0,0,100,0,0,0,0,0,100,0,0,100,0,0,200,100,0,0,0
67,0,0,0,0,0,0,0,0,100,0,0,100,0,100,100,0,100,100,0,200,100,100,100,100,100,0,100,0,0,200,0,0,100,0,100,100,0,100,0,100,0,100,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,100,0,0,0,100,0,0,100,0,0,100,0,0,0,0,0,100,0,0,100,0,0,300,100,0,100,0
68,0,0,0,0,0,0,0,0,100,0,0,100,100,0,100,0,100,0,0,200,100,100,100,100,100,0,100,0,0,100,0,0,100,0,200,0,0,100,0,100,0,100,0,0,0,0,0,100,100,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,100,0,100,0,100,0,0,100,0,0,100,100,0,0,0,0,100,0,0,100,0,0,300,0,0,100,0
69,0,0,0,0,0,0,0,0,100,0,0,100,100,0,100,0,100,0,0,200,100,100,100,200,100,0,100,0,0,100,0,0,100,100,200,0,0,100,0,100,0,100,0,0,0,0,0,100,100,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,100,0,100,0,100,0,0,100,0,0,100,100,0,0,0,0,100,100,0,100,0,0,300,0,0,100,0
